,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3)
251,AVIPAX_clean,3.2e-08,4.43e-09,6,2,12.14733635,0.597201021,963.8064319
252,AVIPOL_clean,4.04e-08,8.33e-09,6,2,13.63180538,0.268825153,939.1539184
253,AVITUU_clean,4.68e-08,1.68e-08,6,2,2.850826609,0.450652948,710.8892151
254,AVUCEA_clean,6.64e-08,7.89e-09,6,2,14.4653501,0.590563511,893.630217
255,AVUDAX_clean,4.59e-08,8.64e-09,6,2,1.642071772,0.324721942,998.1327287
256,AWAGEL_clean,6.29e-08,1.67e-08,6,2,1.313965291,0.282233134,990.9224229
257,AWAGOV_clean,1.41e-08,5.37e-09,6,2,1.86553439,0.19699873,1148.699136
258,AWAKEQ_clean,1.86e-08,5.09e-09,6,2,1.817436137,0.225247888,1195.708279
259,AWAREV_clean,5.72e-08,2.27e-08,6,2,0.912341333,0.270811481,1875.073289
260,AWARIZ_clean,5.85e-08,2.38e-08,6,2,0.91657929,0.268693757,1878.38326
261,AWAWUR_clean,4.83e-08,1.26e-09,6,2,8.044698495,0.8465329,982.4474219
262,AWEJIW_clean,6.27e-08,1.14e-08,6,2,6.088848938,0.35152708,1193.742176
263,AWEVIJ_clean,4.31e-08,1.71e-08,6,2,2.735815214,0.265624418,747.2136789
264,AWEWOP_clean,3.35e-08,9.02e-09,6,2,10.02712842,0.211166439,1110.258319
265,AWEZOS_clean,6.74e-09,1.73e-09,6,2,0.333900002,0.05930489,1535.134051
266,AWEZOS01_clean,9.02e-09,1.81e-09,6,2,0.33311246,0.058172845,1535.134051
267,AWIBAK_clean,9.06e-09,1.7e-09,6,2,0.334402465,0.058069795,1535.134051
268,AWIBAL_clean,2.77e-08,5.25e-09,6,2,5.75301317,0.504549128,1688.064318
269,AWIBEO_clean,1.09e-08,2.07e-09,6,2,0.321029424,0.039333517,1567.983909
270,AWIBIS_clean,1.11e-08,2.42e-09,6,2,0.32211566,0.042282923,1560.986676
271,AWOFOI_clean,5.15e-08,7.67e-09,6,2,11.42802478,0.348366952,1319.077976
